,walcl,rrp,tga,net_liq,vix,us10y,dxy,net_liq_wow,net_liq_4w,vix_wow,vix_4w,us10y_wow,us10y_4w,dxy_wow,dxy_4w,nq_week_ret,nq_close_pos,nq_week_range,nq_mom_4w,nq_mom_12w,nq_vol_regime,es_nq_spread,realized_vol,fwd_return,fwd_vol,fwd_points,label,nq_1h_drift,nq_1h_vol
2014-02-06,4109.285,96.0318,80.081,3923.7408,15.463442028985506,2.742,80.6259994506836,-12.85919999999942,88.92979999999989,1.3608586956521729,1.3182497212931992,-0.0954999999999999,-0.258,-0.3665008544921875,-0.003997802734375,-0.002291974205578473,0.6815476190395053,0.013082583810302535,-0.009334619093539054,,,0.004293582218129477,0.016885204684706206,0.02550325117782193,0.008028164538535993,163.75,1.0,-2.621280242948998e-05,0.001201031927522152
2014-02-13,4119.474,101.4812,36.41,3933.1722,18.0348,2.67,81.06399993896484,9.431399999999485,82.0357999999992,2.5713579710144945,4.098540157480317,-0.072,-0.3159999999999998,0.4380004882812471,0.199998474121088,0.02550325117782193,0.9999999999892473,0.014124079277090137,0.008539153743059469,,,-0.0004518050019532982,0.008028164538535993,0.003113372313767071,0.005868184512048602,20.5,1.0,0.00018956327866402611,0.0007879225010641173
2014-02-20,4149.224,81.52550000000001,41.184,3981.5828,15.560959409594098,2.738,80.59199981689453,48.41060000000061,45.832000000000335,-2.473840590405903,1.3022823667925412,0.068,-0.1339999999999999,-0.4720001220703125,-0.1440017700195284,0.003113372313767071,0.8292682926424747,0.0031037093111279334,0.008820497155294316,,,-0.002143445121344012,0.005868184512048602,0.004542013626040786,0.0063516740206331366,30.0,1.0,5.422334839070948e-05,0.0006633441760668928
2014-02-27,4159.972,110.9838,46.704,4026.5145,14.83,2.7375,80.14999961853027,44.93169999999964,89.91450000000032,-0.7309594095940977,0.7274166666666666,-0.0005000000000001,-0.1,-0.4420001983642549,-0.8425006866455078,0.004542013626040786,0.9999999999729731,0.005576488319517709,0.03099992230595916,,,-0.003193033764742559,0.0063516740206331366,0.003089675960813887,0.009463574354991063,20.5,1.0,2.3582889585275583e-05,0.0007133239434722055
2014-03-06,4171.762,78.501,45.394,4002.2842,14.98439114391144,2.7,80.26000061035157,-24.23030000000017,78.54339999999956,0.1543911439114396,-0.4790508850740664,-0.0374999999999996,-0.0419999999999998,0.1100009918212947,-0.3659988403320255,0.003089675960813887,0.894957983178236,0.008939974457215836,0.0365611493984348,,,-0.006531945660807725,0.009463574354991063,-0.010630305762151626,0.009377316219902057,-70.75,-1.0,3.378829535688373e-05,0.0009853394304001686
2014-03-13,4181.361,67.726,56.141,4047.867,15.37449814126394,2.68,79.96000061035156,45.58280000000013,114.6948000000002,0.3901069973525004,-2.6603018587360605,-0.02,0.0100000000000002,-0.3000000000000113,-1.103999328613284,-0.010630305762151626,0.0,0.008542465545388967,3.7967955045958846e-05,,,0.0020048800179104376,0.009377316219902057,0.00683397243631112,0.010450813170085888,45.0,1.0,-8.96618788036226e-05,0.001007203494508708
2014-03-20,4222.081,67.63199999999999,88.345,4057.494,15.723874538745388,2.75,79.69400024414062,9.627000000000407,75.91120000000001,0.3493763974814481,0.1629151291512904,0.0699999999999998,0.012,-0.2660003662109318,-0.8979995727539034,0.00683397243631112,0.9527027026898283,0.011161808514649874,0.0037471612414836653,,,-0.004444630752063139,0.010450813170085888,-0.020702138089671585,0.009097831152298062,-137.25,-1.0,5.82244744461502e-05,0.0009148736018642059
2014-03-27,4226.971,97.1368,102.04,4066.1040000000007,16.11779411764706,2.72,79.68800048828125,8.610000000000582,39.58950000000095,0.39391957890167,1.2877941176470582,-0.0300000000000002,-0.0175,-0.0059997558593778,-0.4619991302490263,-0.020702138089671585,0.0,0.013053523296110897,-0.021477015825169588,-3.8504485772583585e-05,0.9229709383295178,-0.009763800288063007,0.009097831152298062,0.011782826338082364,0.011287890467918393,76.5,1.0,-0.0001674265047916984,0.0012482598508237333
2014-04-03,4236.441,137.1346,96.163,4027.7942,15.7787072243346,2.728,80.01400146484374,-38.30980000000136,25.509999999999764,-0.3390868933124569,0.7943160804231617,0.0080000000000004,0.028,0.3260009765624971,-0.2459991455078238,0.011782826338082364,0.7112860892313776,0.01449992388491399,-0.012996769589061707,0.013539054966248854,1.1190605442591657,-0.0066493540804366535,0.011287890467918393,-0.02294869843202918,0.025851516253424984,-150.75,-1.0,9.754510374101465e-05,0.0009616569556941239
2014-04-10,4244.188,93.4798,62.436,4003.1434,14.94603846153846,2.77,80.21000061035156,-24.65079999999989,-44.72360000000026,-0.8326687627961409,-0.4284596797254796,0.0419999999999998,0.0899999999999998,0.1959991455078125,0.25,-0.02294869843202918,0.0,0.017294433841000274,-0.02528569801435132,-0.016925138809113505,2.3456358639708688,0.000898847612897935,0.025851516253424984,0.006738596969579014,0.008940422899667545,43.25,1.0,-0.00019765886998815893,0.0013324021165978229
2014-04-17,4283.967,73.33699999999999,65.457,4088.2722,15.289622641509434,2.7,79.85,85.12880000000041,30.778199999999742,0.3435841799709731,-0.4342518972359546,-0.0699999999999998,-0.0499999999999998,-0.3600006103515625,0.1559997558593693,0.006738596969579014,0.9999999999873816,0.012264953958059275,-0.025378030845808697,-0.013097101836649028,0.7912750800226203,-0.006785233328163276,0.008940422899667545,0.009517913797105981,0.010547298474342486,61.5,1.0,5.802625628454826e-05,0.0015775967088234256
2014-04-24,4296.339,147.70925,111.394,4145.172999999999,16.30100371747212,2.66,79.7260009765625,56.90079999999898,79.06899999999814,1.011381075962687,0.1832095998250622,-0.04,-0.0599999999999996,-0.1239990234374914,0.0380004882812556,0.009517913797105981,0.9925925925631826,0.005173999693392611,0.004697728147862845,0.013596457151736407,0.957757747472783,0.0030614411833107535,0.010547298474342486,0.000306607389238156,0.010647128298067205,2.0,0.0,9.096886608939148e-05,0.0011669799915414716
2014-05-01,4296.049,182.8814,84.126,4037.23575,15.308221153846157,2.715,79.88000106811523,-107.93724999999904,9.44155000000046,-0.9927825636259656,-0.4704860704884464,0.0549999999999997,-0.0130000000000003,0.1540000915527315,-0.1340003967285099,0.000306607389238156,0.9999999999822223,0.008620689655172414,-0.006698127568884105,0.01623642097885769,1.0147224088881985,-0.0017248263753293358,0.010647128298067205,-0.007547892720306537,0.0064148385228793865,-49.25,-1.0,2.7735009065314267e-06,0.0010366729238338983
2014-05-08,4303.143,193.9196,91.397,4029.0416,15.222209737827717,2.678,79.65599822998047,-8.194150000000263,25.898200000000088,-0.0860114160184402,0.2761712762892543,-0.0369999999999999,-0.092,-0.2240028381347656,-0.5540023803710881,-0.007547892720306537,0.0,0.008222985754545805,0.008958828341058656,-0.016516060444984437,0.619300067914861,-0.005200474879930916,0.0064148385228793865,0.003976373393043353,0.011906712689647022,25.75,1.0,-6.356970203461505e-05,0.0011659485720759432
2014-05-15,4336.649,191.172,71.25,4017.8264,14.638884462151395,2.614,79.35999908447266,-11.21519999999964,-70.44579999999996,-0.5833252756763194,-0.6507381793580382,-0.064,-0.0860000000000003,-0.2959991455078068,-0.4900009155273324,0.003976373393043353,0.25102880658022997,0.009343997539029454,0.006190513038768053,-0.015669947009841034,1.0962392425916168,0.006115410826198486,0.011906712689647022,0.013035453356917692,0.0071235839214817956,84.75,1.0,3.4179493063514936e-05,0.0008846133113558708
2014-05-22,4327.56,209.5686,37.745,4074.2270000000008,14.722159090909091,2.586,80.00200042724609,56.40060000000085,-70.9459999999981,0.0832746287576959,-1.5788446265630292,-0.028,-0.0740000000000002,0.6420013427734261,0.2759994506835852,0.013035453356917692,0.9999999999846743,0.009907003226418675,0.009696458684654408,-0.007347400150715888,0.6519999010660293,0.0031747888338737873,0.0071235839214817956,0.01328525336876063,0.007203258999062937,87.5,1.0,0.00011549421481408185,0.0008232145674686448
2014-05-29,4322.654,173.7505,33.573,4080.246400000001,14.344119850187266,2.536,80.08399963378906,6.019400000000132,43.01065000000108,-0.3780392407218258,-0.9641013036588896,-0.0499999999999998,-0.1789999999999998,0.0819992065429744,0.2039985656738281,0.01328525336876063,0.9999999999834711,0.009065368046450646,0.022796934865900287,0.0027420930057846515,0.6708578949494081,0.0015043151390854437,0.007203258999062937,0.006106012361865476,0.005260026246060797,40.75,1.0,0.00010524874417662594,0.0004469281830327166
