date,symbol,open,high,low,close,volume
2014-01-02 04:00:00,NQH14,6493.0,6496.25,6485.5,6489.25,12365
2014-01-02 08:00:00,NQH14,6489.5,6492.0,6469.5,6477.75,120223
2014-01-02 12:00:00,NQH14,6477.75,6480.0,6466.25,6477.5,63909
2014-01-02 16:00:00,NQH14,6477.75,6480.5,6476.75,6477.5,1792
2014-01-02 20:00:00,NQH14,6477.25,6477.75,6468.75,6468.75,2294
2014-01-03 00:00:00,NQH14,6468.75,6476.0,6463.25,6476.0,7429
2014-01-03 04:00:00,NQH14,6475.75,6483.75,6474.75,6478.75,11088
2014-01-03 08:00:00,NQH14,6478.75,6480.0,6449.0,6452.75,111221
2014-01-03 12:00:00,NQH14,6452.75,6462.75,6445.75,6446.0,60648
2014-01-03 16:00:00,NQH14,6445.75,6449.75,6444.5,6448.0,1038
2014-01-05 16:00:00,NQH14,6447.75,6457.5,6447.75,6450.25,3193
2014-01-05 20:00:00,NQH14,6450.5,6451.25,6446.0,6449.75,1996
2014-01-06 00:00:00,NQH14,6449.5,6452.0,6444.25,6451.0,6155
2014-01-06 04:00:00,NQH14,6451.25,6454.0,6446.25,6449.0,8587
2014-01-06 08:00:00,NQH14,6449.0,6454.5,6423.0,6432.75,137743
2014-01-06 12:00:00,NQH14,6432.75,6448.5,6427.25,6432.5,88154
2014-01-06 16:00:00,NQH14,6432.75,6439.75,6432.5,6438.5,2273
2014-01-06 20:00:00,NQH14,6438.75,6443.0,6438.5,6442.0,2092
2014-01-07 00:00:00,NQH14,6442.0,6445.5,6437.75,6445.5,3713
2014-01-07 04:00:00,NQH14,6445.25,6453.25,6444.5,6452.0,8715
2014-01-07 08:00:00,NQH14,6451.75,6469.75,6446.5,6467.0,88829
2014-01-07 12:00:00,NQH14,6466.75,6474.5,6458.0,6467.0,86167
2014-01-07 16:00:00,NQH14,6467.0,6467.25,6462.5,6465.25,1559
2014-01-07 20:00:00,NQH14,6465.25,6470.25,6465.25,6469.75,1287
2014-01-08 00:00:00,NQH14,6469.5,6470.25,6463.25,6464.75,3306
2014-01-08 04:00:00,NQH14,6464.5,6469.25,6461.25,6467.25,8501
2014-01-08 08:00:00,NQH14,6467.25,6486.75,6462.25,6480.75,99569
2014-01-08 12:00:00,NQH14,6480.75,6485.25,6466.75,6480.75,93309
2014-01-08 16:00:00,NQH14,6480.75,6481.5,6477.25,6479.75,1480
2014-01-08 20:00:00,NQH14,6480.0,6484.0,6480.0,6482.75,1318
2014-01-09 00:00:00,NQH14,6482.75,6491.75,6474.0,6491.75,8575
2014-01-09 04:00:00,NQH14,6491.75,6494.25,6485.0,6487.0,9684
2014-01-09 08:00:00,NQH14,6486.75,6491.5,6454.5,6469.25,116814
2014-01-09 12:00:00,NQH14,6469.0,6469.5,6452.75,6466.5,71764
2014-01-09 16:00:00,NQH14,6466.75,6471.0,6465.75,6470.0,1729
2014-01-09 20:00:00,NQH14,6470.0,6471.25,6469.0,6471.25,1324
2014-01-10 00:00:00,NQH14,6471.25,6479.0,6471.25,6477.25,4498
2014-01-10 04:00:00,NQH14,6477.0,6489.25,6455.25,6474.0,37079
2014-01-10 08:00:00,NQH14,6474.0,6480.75,6446.75,6455.0,156311
2014-01-10 12:00:00,NQH14,6455.0,6474.75,6454.0,6472.75,44955
2014-01-10 16:00:00,NQH14,6480.0,6481.0,6480.0,6480.5,132
2014-01-12 16:00:00,NQH14,6480.5,6480.5,6474.0,6474.0,1231
2014-01-12 20:00:00,NQH14,6474.25,6474.25,6468.25,6470.75,2075
2014-01-13 00:00:00,NQH14,6471.25,6475.25,6469.25,6473.25,4429
2014-01-13 04:00:00,NQH14,6473.25,6475.0,6463.75,6470.5,7058
2014-01-13 08:00:00,NQH14,6470.5,6483.75,6460.5,6460.75,139233
2014-01-13 12:00:00,NQH14,6460.75,6460.75,6409.75,6426.75,178754
2014-01-13 16:00:00,NQH14,6426.75,6429.5,6426.5,6429.5,1769
2014-01-13 20:00:00,NQH14,6429.75,6429.75,6423.5,6425.0,2423
2014-01-14 00:00:00,NQH14,6424.75,6432.0,6420.5,6428.25,6457
