,walcl,rrp,tga,net_liq,vix,us10y,dxy,net_liq_wow,net_liq_4w,vix_wow,vix_4w,us10y_wow,us10y_4w,dxy_wow,dxy_4w,nq_week_ret,nq_close_pos,nq_week_range,nq_mom_4w,nq_mom_12w,nq_vol_regime,es_nq_spread,realized_vol,fwd_return,fwd_vol,fwd_points,label,nq_1h_drift,nq_1h_vol,nq_lev_net_pct,nq_lev_wow,nq_lev_4w,nq_lev_pctile,nq_asset_mgr_net_pct,nq_positioning_signal,es_lev_net_pct,es_lev_wow,es_lev_4w,es_lev_pctile,es_asset_mgr_net_pct,es_positioning_signal
2014-02-06,4109.285,96.0318,80.081,3923.7408,15.463442028985506,2.742,80.6259994506836,-12.85919999999942,88.92979999999989,1.3608586956521729,1.3182497212931992,-0.0954999999999999,-0.258,-0.3665008544921875,-0.003997802734375,-0.0022919742055784,0.6815476190395053,0.0130825838103025,-0.009334619093539,,,0.0042935822181294,0.0168852046847062,0.0255032511778219,0.0080281645385359,163.75,1.0,-2.621280242948998e-05,0.0012010319275221,0.2373127430430743,-0.0011479600797124,,0.5,0.3767546951370378,0.0,-0.1084307890954857,0.0128089077260437,,0.25,0.2838398285717229,0.0
2014-02-13,4119.474,101.4812,36.41,3933.1722,18.0348,2.67,81.06399993896484,9.431399999999485,82.0357999999992,2.5713579710144945,4.098540157480317,-0.072,-0.3159999999999998,0.4380004882812471,0.199998474121088,0.0255032511778219,0.9999999999892472,0.0141240792770901,0.0085391537430594,,,-0.0004518050019532,0.0080281645385359,0.003113372313767,0.0058681845120486,20.5,1.0,0.000189563278664,0.0007879225010641,0.2144281262114903,-0.0228846168315839,18137.0,0.4,0.3743574381101506,0.0,-0.1056344561075189,0.0027963329879668,-64290.0,0.4,0.2465398981301534,0.0
2014-02-20,4149.224,81.52550000000001,41.184,3981.5828,15.560959409594098,2.738,80.59199981689453,48.41060000000061,45.832000000000335,-2.473840590405903,1.3022823667925412,0.068,-0.1339999999999999,-0.4720001220703125,-0.1440017700195284,0.003113372313767,0.8292682926424747,0.0031037093111279,0.0088204971552943,,,-0.002143445121344,0.0058681845120486,0.0045420136260407,0.0063516740206331,30.0,1.0,5.422334839070948e-05,0.0006633441760668,0.1702609299679041,-0.0441671962435862,3226.0,0.3333333333333333,0.4097805015629195,0.0,-0.1452948944305389,-0.0396604383230199,-160376.0,0.0,0.2759216516881855,-1.0
2014-02-27,4159.972,110.9838,46.704,4026.5145,14.83,2.7375,80.14999961853027,44.93169999999964,89.91450000000032,-0.7309594095940977,0.7274166666666666,-0.0005000000000001,-0.1,-0.4420001983642549,-0.8425006866455078,0.0045420136260407,0.9999999999729732,0.0055764883195177,0.0309999223059591,,,-0.0031930337647425,0.0063516740206331,0.0030896759608138,0.009463574354991,20.5,1.0,2.3582889585275583e-05,0.0007133239434722,0.195676634438886,0.0254157044709818,-15623.0,0.4285714285714285,0.3836763502783169,0.0,-0.1467514093935972,-0.0014565149630583,-116155.0,0.0,0.2717057360644193,-1.0
2014-03-06,4171.762,78.501,45.394,4002.2842,14.98439114391144,2.7,80.26000061035157,-24.23030000000017,78.54339999999956,0.1543911439114396,-0.4790508850740664,-0.0374999999999996,-0.0419999999999998,0.1100009918212947,-0.3659988403320255,0.0030896759608138,0.894957983178236,0.0089399744572158,0.0365611493984348,,,-0.0065319456608077,0.009463574354991,-0.0106303057621516,0.009377316219902,-70.75,-1.0,3.378829535688373e-05,0.0009853394304001,0.2295708776988414,0.0338942432599554,4063.0,0.625,0.363533723576106,0.0,-0.1348579186132946,0.0118934907803025,-114579.0,0.25,0.2451453907065774,0.0
2014-03-13,4181.361,67.726,56.141,4047.867,15.37449814126394,2.68,79.96000061035156,45.58280000000013,114.6948000000002,0.3901069973525004,-2.6603018587360605,-0.02,0.0100000000000002,-0.3000000000000113,-1.103999328613284,-0.0106303057621516,0.0,0.0085424655453889,3.7967955045958846e-05,,,0.0020048800179104,0.009377316219902,0.0068339724363111,0.0104508131700858,45.0,1.0,-8.96618788036226e-05,0.0010072034945087,0.226255278125092,-0.0033155995737493,22309.0,0.5555555555555556,0.3808522461763851,0.0,-0.1363531576834818,-0.0014952390701871,-134691.0,0.2222222222222222,0.2452464727399407,0.0
2014-03-20,4222.081,67.63199999999999,88.345,4057.494,15.723874538745388,2.75,79.69400024414062,9.627000000000407,75.91120000000001,0.3493763974814481,0.1629151291512904,0.0699999999999998,0.012,-0.2660003662109318,-0.8979995727539034,0.0068339724363111,0.9527027026898284,0.0111618085146498,0.0037471612414836,,,-0.0044446307520631,0.0104508131700858,-0.0207021380896715,0.009097831152298,-137.25,-1.0,5.82244744461502e-05,0.0009148736018642,0.2036821941718913,-0.0225730839532007,26099.0,0.4,0.3798730676181248,0.0,-0.1414983406624822,-0.0051451829790003,-29377.0,0.2,0.2490805290049348,0.0
2014-03-27,4226.971,97.1368,102.04,4066.1040000000007,16.11779411764706,2.72,79.68800048828125,8.610000000000582,39.58950000000095,0.39391957890167,1.2877941176470582,-0.0300000000000002,-0.0175,-0.0059997558593778,-0.4619991302490263,-0.0207021380896715,0.0,0.0130535232961108,-0.0214770158251695,-3.850448577258359e-05,0.9229709383295178,-0.009763800288063,0.009097831152298,0.0117828263380823,0.0112878904679183,76.5,1.0,-0.0001674265047916,0.0012482598508237,0.1781645354841431,-0.0255176586877481,11740.0,0.2727272727272727,0.3005710260676243,0.0,-0.1044761995865775,0.0370221410759047,59092.0,0.7272727272727273,0.2172525633921787,0.0
2014-04-03,4236.441,137.1346,96.163,4027.7942,15.7787072243346,2.728,80.01400146484374,-38.30980000000136,25.509999999999764,-0.3390868933124569,0.7943160804231617,0.0080000000000004,0.028,0.3260009765624971,-0.2459991455078238,0.0117828263380823,0.7112860892313776,0.0144999238849139,-0.0129967695890617,0.0135390549662488,1.1190605442591657,-0.0066493540804366,0.0112878904679183,-0.0229486984320291,0.0258515162534249,-150.75,-1.0,9.754510374101464e-05,0.0009616569556941,0.1825275276596868,0.0043629921755436,-36608.0,0.3333333333333333,0.4417681075229067,0.0,-0.1529400088749865,-0.048463809288409,1925.0,0.0,0.3481582974876934,-1.0
2014-04-10,4244.188,93.4798,62.436,4003.1434,14.94603846153846,2.77,80.21000061035156,-24.65079999999989,-44.72360000000026,-0.8326687627961409,-0.4284596797254796,0.0419999999999998,0.0899999999999998,0.1959991455078125,0.25,-0.0229486984320291,0.0,0.0172944338410002,-0.0252856980143513,-0.0169251388091135,2.3456358639708688,0.0008988476128979,0.0258515162534249,0.006738596969579,0.0089404228996675,43.25,1.0,-0.0001976588699881,0.0013324021165978,0.1861329595165108,0.003605431856824,-39239.0,0.3846153846153846,0.407319427929353,0.0,-0.1338373641878188,0.0191026446871677,75231.0,0.4615384615384615,0.3470990378858551,0.0
2014-04-17,4283.967,73.33699999999999,65.457,4088.2722,15.289622641509434,2.7,79.85,85.12880000000041,30.778199999999742,0.3435841799709731,-0.4342518972359546,-0.0699999999999998,-0.0499999999999998,-0.3600006103515625,0.1559997558593693,0.006738596969579,0.9999999999873816,0.0122649539580592,-0.0253780308458086,-0.013097101836649,0.7912750800226203,-0.0067852333281632,0.0089404228996675,0.0095179137971059,0.0105472984743424,61.5,1.0,5.802625628454826e-05,0.0015775967088234,0.0595854782922092,-0.1265474812243015,-73066.0,0.0,0.3749737763648393,-1.0,-0.1448458916328029,-0.011008527444984,76746.0,0.2142857142857142,0.3372316962696187,0.0
