timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,atm_iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,call_oi,put_oi,strike_iv,score,type
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,26721.83,635.0,-2913.9199999999983,-9.83244898475658,-92900.97,92900.97,2387706.5,66536.07,-224421.54,-0.523625,711.89,114,0,114,40.0,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-13,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,26800.73,640.0,-2835.0200000000004,-9.56621647840868,-482714.14,518858.45999999996,11480536.780000001,503716.6,1080823.95,1.6861050000000002,2977.79,794,30,764,41.95032745591939,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-14,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,26801.27,640.0,-2834.4799999999996,-9.564394354791087,-295276.24,295276.24,7296963.05,239501.66,-650714.8,-1.408146,1960.05,385,0,385,40.43,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,26932.24,640.0,-2703.5099999999984,-9.122461891465539,-203751.57,203751.57,5029148.41,134842.2,-488001.54,-1.362124,1503.3,209,0,209,38.52,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-13,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27010.12,645.0,-2625.630000000001,-8.859671174173087,-398427.28,441839.1,9156687.7,395863.0,1254659.59,2.403113,2419.3799999999997,561,30,531,40.019037433155084,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-14,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27010.65,645.0,-2625.0999999999985,-8.857882793585445,-381608.99,381608.99,9075534.19,285589.89,-829787.53,-2.16334,2429.63,413,0,413,38.78,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27142.65,645.0,-2493.0999999999985,-8.412474798174499,-216562.47,216562.47,5053237.37,131609.87,-524341.09,-1.796219,1552.99,181,0,181,37.44,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-13,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27219.5,650.0,-2416.25,-8.153159612967446,-604557.3200000001,631152.02,13370950.62,518612.89999999997,-158589.20999999996,-0.6679270000000002,3299.5,654,15,639,38.21316513761468,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-14,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27220.04,650.0,-2415.709999999999,-8.151337489349855,-1078469.8,1080531.7,24476878.78,741403.8,-2264296.19,-7.233225,6611.0199999999995,957,1,956,37.26852664576803,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27353.06,650.0,-2282.6899999999987,-7.702487704883455,-376272.93,376272.93,8417372.51,208516.56,-893453.37,-3.6322,2569.22,265,0,265,35.65,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-13,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27428.88,655.0,-2206.869999999999,-7.446648051761804,-976574.12,976574.12,20554407.83,730618.57,-1876185.85,-6.389766,4890.05,809,0,809,36.61,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-14,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27429.42,655.0,-2206.3300000000017,-7.4448259281442235,-436130.66,438693.34,9381754.780000001,273910.69,-874447.12,-3.446759,2577.39,316,1,315,35.785601265822784,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27563.46,655.0,-2072.290000000001,-6.992534354622376,-610971.52,614364.72,12841900.08,307721.01,-1394201.1800000002,-6.9150599999999995,4039.4100000000003,355,1,354,34.32870422535211,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-13,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27638.26,660.0,-1997.4900000000016,-6.740136490556176,-1158366.01,1186467.1700000002,22862645.62,801195.37,-1582171.0799999998,-7.099421000000001,5708.84,774,10,764,35.171007751937985,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-14,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27638.81,660.0,-1996.9399999999987,-6.7382806239086195,-1532981.15,1532981.15,30890240.85,863107.16,-3326666.04,-16.204002,8675.0,888,0,888,34.47,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27773.87,660.0,-1861.880000000001,-6.282547261331335,-1761320.1199999999,1782177.66,34409170.910000004,798243.1900000001,-3939443.8199999994,-23.904587,11288.94,842,5,837,33.077505938242275,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-13,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27847.64,665.0,-1788.1100000000006,-6.033624929350533,-1392464.94,1399696.02,25899766.139999997,843701.33,-2527304.1799999997,-13.695905,6383.28,731,2,729,33.33696306429549,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-14,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27848.19,665.0,-1787.5600000000013,-6.03176906270299,-1649963.19,1649963.19,30626256.12,828335.99,-3658556.33,-22.352097,9041.61,762,0,762,33.38,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,27984.28,665.0,-1651.4700000000012,-5.572560168040293,-1705020.83,1771752.63,30083469.060000002,700063.92,-3522107.8300000005,-26.524082,10971.58,677,13,664,32.334446085672084,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-13,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,28057.02,670.0,-1578.7299999999996,-5.327113368144891,-3484428.77,3751915.85,58668607.330000006,1991902.47,-3345041.11,-25.002979,16573.489999999998,1511,57,1454,32.294169424222375,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-14,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,28057.58,670.0,-1578.1699999999983,-5.325223758467386,-990486.2699999999,1314595.0499999998,16767829.01,580315.65,1539168.7800000003,10.384426999999999,6862.04,493,63,430,31.793651115618662,,
2026-07-13T03:01:20 ET,2026-07-13T03:00:00 ET,2026-07-13,Mon,0301ET,2026-07-15,29635.75,707.7,29612.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,19.8,24.84,29.47,23.53,28194.69,670.0,-1441.0600000000013,-4.8625730747492515,-399203.09,695190.47,6439884.93,238395.78,1572004.47,14.116614,4083.66,220,47,173,30.673,,
