timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,score,type
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29422.94,714.0,-968.8100000000013,-3.1877400939399716,-2163424.98,3828150.94,20175233.31,12343556.68,80484657.64,149.493906,1791.06,4542,2.118325935347396,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29461.35,715.0,-930.4000000000015,-3.0613571117161777,-5254576.67,12650808.61,82272608.55999999,5923220.949999999,69447620.36,576.294035,22512.11,3575,2.4756550306569487,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29464.14,715.0,-927.6100000000006,-3.0521769888209813,-6465727.789999999,14546319.91,59896603.79,44877959.86,380474168.14,729.6440580000001,6493.19,16796,7.579671826885274,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29502.55,716.0,-889.2000000000007,-2.9257940065971875,-804677.4900000005,9360691.99,10017267.009999998,4318343.39,81723100.86999999,709.914404,15617.8,2497,1.0991901803068467,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29505.35,716.0,-886.4000000000015,-2.916580980035705,-1574752.0099999998,2931876.63,14607150.990000002,8637325.17,60925168.54000001,122.02603599999999,1254.35,3168,1.4894267979707947,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29543.76,717.0,-847.9900000000016,-2.7901979978119114,-685229.7100000004,10635458.95,7146465.020000003,4584888.36,82777247.35000001,812.422145,17956.13,2502,1.0874463864232826,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29546.56,717.0,-845.1899999999987,-2.780984971250417,-2595230.8000000003,4139696.02,23343430.81,11619097.9,64948086.83,137.368696,1728.8200000000002,3768,1.9388881155343485,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29584.96,718.0,-806.7900000000009,-2.654634892692921,-23932045.29,28694067.049999997,339671026.39,10597724.29,8228679.009999998,51.82573400000001,54507.15,5502,7.022639666137759,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29587.77,718.0,-803.9799999999996,-2.645388962465141,-4190260.1499999994,6368379.39,37616989.57,16990398.21,84591532.9,192.87265299999999,2541.61,5354,2.85752185018752,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29626.17,719.0,-765.5800000000017,-2.519038883907645,-541435.2799999998,9286990.56,5370476.82,3608904.86,55713565.53,692.9795349999999,15190.85,1767,0.8038351717696439,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29628.98,719.0,-762.7700000000004,-2.5097929536798653,-3725646.09,7612764.17,33947650.28,19256517.0,138551708.7,349.496654,2835.5,6557,3.22780750809019,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29667.37,720.0,-724.380000000001,-2.383475778788655,-13608419.129999999,32176218.39,181755901.05,11421328.97,84911954.02000001,1244.379121,54357.270000000004,5375,4.866416612580433,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29670.19,720.0,-721.5600000000013,-2.374196944894589,-8035315.159999998,28920569.5,70702782.07000001,69149085.88,666262777.73,1888.779291,10246.82,22787,10.576394340776078,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29708.58,721.0,-683.1699999999983,-2.247879770003367,137119.8799999999,12762017.64,-3361667.729999993,4478955.6,63534189.970000006,1001.0878270000001,19795.06,1981,0.8858482335608101,CALL WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29711.4,721.0,-680.3499999999985,-2.238600936109301,-1964722.4299999997,9834112.17,14551126.020000003,22150380.380000003,218578082.9,709.554807,3407.7,6162,2.9621952461858303,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29749.78,722.0,-641.9700000000012,-2.1123166648843887,-5273334.35,15756872.93,65196103.56000001,5174962.86,39888801.25,706.15782,24170.37,2197,1.9218251737116117,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29752.6,722.0,-639.1500000000015,-2.1030378309903233,-5478778.89,8438486.629999999,48865938.480000004,17842085.509999998,68361373.03,260.803016,2729.91,4981,3.004881520195518,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29790.99,723.0,-600.7599999999984,-1.9767206560991006,-4418649.779999999,9741781.76,52041282.81,2827577.25,14399050.549999999,292.569616,15917.3,1202,1.3113791667842103,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29793.81,723.0,-597.9399999999987,-1.967441822205035,-6732678.390000001,12936174.030000001,55270709.28999999,25563014.66,119432465.93,546.232338,4114.33,5709,3.7118243577639647,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29832.19,724.0,-559.5600000000013,-1.8411575509801221,-33059746.880000003,42368417.34,373023462.49,12473834.849999998,1247091.2299999995,25.52863100000009,60059.38,4833,7.928763600382909,PUT WALL + VOL SENSITIVE
2026-05-29T13:22:38 ET,2026-05-29T13:20:00 ET,2026-05-29,Fri,1322ET,AGGREGATE,30391.75,737.51,30307.6,NEAR_FLIP,CONTRACTION,18.98,0.807,10.18,15.13,15.32,18.75,29835.02,724.0,-556.7299999999996,-1.831845813419759,-7703723.91,11473479.11,61730347.63,21089423.830000002,57147456.230000004,319.58750799999996,3533.1800000000003,3984,3.165289692341317,PUT WALL + VOL SENSITIVE
