timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,score,type
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-02,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27419.28,665.0,-3023.220000000001,-9.930918945553096,-252007.09,328142.15,2555841.9899999998,1690102.51,2951888.33,5.584296,915.7,431,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-03,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27419.28,665.0,-3023.220000000001,-9.930918945553096,-38145.100000000006,53153.0,583510.2,136908.13,778381.56,1.209442,197.26999999999998,85,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-01,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27419.73,665.0,-3022.7700000000004,-9.929440748952945,-1405148.22,1433111.36,8253725.13,14677355.620000001,-3591156.9499999997,-10.396638,3427.77,1230,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-02,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27625.44,670.0,-2817.0600000000013,-9.253707809805375,-110741.68,156295.0,1142906.1099999999,748297.35,1822727.21,3.5571110000000004,398.5,199,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-03,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27625.44,670.0,-2817.0600000000013,-9.253707809805375,-118123.28999999998,166173.43,1815528.7699999998,397653.49,2347438.4400000004,3.8926040000000004,570.5,249,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-01,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27625.9,670.0,-2816.5999999999985,-9.252196764391881,-509719.70999999996,713134.53,3114728.12,6799098.32,4402171.470000001,12.936145000000002,1526.51,603,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-02,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27666.67,671.0,-2775.8300000000017,-9.1182721524185,-15831.3,15831.3,163887.35,74649.04,-31604.18,-0.062161,39.63,20,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-03,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27666.67,671.0,-2775.8300000000017,-9.1182721524185,-8133.130000000001,16266.27,125053.15,38332.2,413067.01,0.695635,54.97,24,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-01,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27667.13,671.0,-2775.369999999999,-9.116761107005006,-358210.93,358210.93,2205892.25,3364452.64,-951712.67,-2.804927,749.58,302,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-02,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27707.91,672.0,-2734.59,-8.982803646218281,-17561.97,19158.510000000002,182331.49,88950.62,36346.950000000004,0.072095,47.09,24,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-03,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27707.91,672.0,-2734.59,-8.982803646218281,33758.049999999996,39269.57,-519151.67000000004,91110.09,3841927.86,6.576794,130.66,57,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-01,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27708.36,672.0,-2734.1399999999994,-8.98132544961813,-252206.68000000002,264103.22000000003,1565051.8099999998,2443112.42,-313471.91000000003,-0.9266230000000002,540.17,222,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-02,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27749.14,673.0,-2693.3600000000006,-8.847367988831405,-62834.12,69278.64,654140.45,316639.43,162473.49,0.325212,167.19,86,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-03,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27749.14,673.0,-2693.3600000000006,-8.847367988831405,-11215.32,11215.32,172471.07,25612.71,-19999.77,-0.034834,36.74,16,,
2026-06-01T08:31:50 ET,2026-06-01T08:30:00 ET,2026-06-01,Mon,0831ET,2026-06-01,30442.5,738.31,30437.0,NEAR_FLIP,EXPANSION,,,10.0,15.14,15.3,18.75,27749.59,673.0,-2692.91,-8.845889792231256,-421215.49,423601.99,2633726.4,3858491.2600000002,-991164.5900000001,-2.9387269999999996,846.6899999999999,355,,
