timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,score,type
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-26,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,26776.47,650.0,-2782.279999999999,-9.412711971920325,-814063.57,941852.61,8247807.609999999,4588546.22,3797953.1100000003,8.109421000000001,2489.0,1194,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-27,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,26776.47,650.0,-2782.279999999999,-9.412711971920325,-359948.33,405296.14999999997,5348206.23,986644.2,1479808.17,2.838203,1464.1100000000001,572,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-26,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,26982.44,655.0,-2576.3100000000013,-8.715896308199776,-1114933.64,1223942.24,11580624.07,5508525.29,2558287.46,5.550510000000001,2915.3300000000004,1527,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-27,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,26982.44,655.0,-2576.3100000000013,-8.715896308199776,-235625.22,291332.14,3531316.56,654800.71,2120132.22,4.320182,963.81,387,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-26,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,27188.41,660.0,-2370.34,-8.019080644479216,-1575046.82,1646076.72,16705520.600000001,6798860.61,317522.4199999999,0.7098699999999996,3524.77,1993,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-27,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,27188.41,660.0,-2370.34,-8.019080644479216,-484662.23,535420.77,7285899.3100000005,1103802.16,1325939.11,2.9383450000000004,1620.6599999999999,654,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-26,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,27394.39,665.0,-2164.3600000000006,-7.322231149828733,-1328548.0899999999,1446795.83,14312591.709999999,5441644.94,2719296.7700000005,6.399884999999999,2778.43,1664,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-27,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,27394.39,665.0,-2164.3600000000006,-7.322231149828733,-370481.33,434673.64999999997,5547199.510000001,815580.15,1841595.0999999999,4.571311,1203.11,474,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-26,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,27600.36,670.0,-1958.3899999999994,-6.625415486108173,-7867544.510000001,8130016.29,85475748.87,27587848.48,-836064.2599999998,-2.136678,13973.51,8611,,
2026-05-25T07:06:32 ET,2026-05-25T07:05:00 ET,2026-05-25,Mon,0706ET,2026-05-27,29558.75,717.54,29424.9,NEAR_FLIP,NEUTRAL,24.4,0.663,12.68,14.31,16.18,18.96,27600.36,670.0,-1958.3899999999994,-6.625415486108173,-918064.1499999999,1056519.29,13568508.79,1787530.47,3159376.17,9.10812,2673.64,992,,
