timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,atm_iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,call_oi,put_oi,strike_iv,score,type
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-22,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27652.81,670.0,-2914.6899999999987,-9.535258035495211,-706098.36,736058.5599999999,13726691.82,1210703.29,205406.07999999984,0.7933840000000001,3106.35,1264,21,1243,51.333164556962025,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-23,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27652.81,670.0,-2914.6899999999987,-9.535258035495211,-2293386.72,2310046.56,53044223.400000006,2847391.8299999996,-2976417.36,-3.577056,10923.23,4479,14,4465,43.14518865818263,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-22,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27859.18,675.0,-2708.3199999999997,-8.860129222213134,-1012196.06,1133528.04,19215098.42,1726047.56,3988011.45,7.646811,4540.41,1645,81,1564,48.7335197568389,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-23,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27859.18,675.0,-2708.3199999999997,-8.860129222213134,-252493.28,264355.36,5691248.6,301600.33,220525.0,0.4014549999999999,1189.0,427,9,418,41.045175644028106,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-22,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27900.45,676.0,-2667.0499999999993,-8.725116545350451,-363415.66,364931.8,6942807.01,546974.08,-553320.8,-0.9113410000000001,1425.81,537,1,536,47.53290502793296,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-23,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27900.45,676.0,-2667.0499999999993,-8.725116545350451,-69936.69,69936.69,1567145.78,78513.25,-117191.47,-0.185092,311.16,109,0,109,40.60000000000001,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-22,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27941.72,677.0,-2625.779999999999,-8.59010386848777,-465855.23,534971.03,8601964.27,788372.31,2373966.13,4.4755840000000005,2125.63,692,45,647,48.34284682080925,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-23,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27941.72,677.0,-2625.779999999999,-8.59010386848777,-80959.16,92018.29999999999,1806017.4,101623.7,439177.75,0.756408,405.21000000000004,138,8,130,40.18492753623188,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-22,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27982.99,678.0,-2584.5099999999984,-8.455091191625087,-426559.79000000004,468609.13,7832259.640000001,679216.6599999999,1165953.54,2.1917660000000003,1840.98,586,27,559,47.801109215017064,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-23,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,27982.99,678.0,-2584.5099999999984,-8.455091191625087,-85284.54,85284.54,1879540.76,92624.32,-142441.77,-0.247136,373.4,121,0,121,39.95,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-22,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,28024.27,679.0,-2543.2299999999996,-8.320045800278072,-443185.12,444765.81999999995,8468737.879999999,634454.13,-654212.32,-1.139897,1654.21,621,1,620,45.25214170692432,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-23,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,28024.27,679.0,-2543.2299999999996,-8.320045800278072,-82484.88,82484.88,1813519.72,88089.38,-136092.69,-0.242392,356.04,114,0,114,39.39,,
2026-06-19T07:10:20 ET,2026-06-19T07:10:00 ET,2026-06-19,Fri,0710ET,2026-06-22,30567.5,740.62,30502.6,NEAR_FLIP,EXPANSION,,18.221873479318738,,,,,,28065.54,680.0,-2501.959999999999,-8.185033123415389,-1035908.4,1112996.76,19624423.349999998,1560598.92,1731607.4099999997,3.639439,4110.35,1475,48,1427,44.92831186440677,,
