timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,atm_iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,call_oi,put_oi,strike_iv,score,type
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-13,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,26980.92,640.0,-2853.3300000000017,-9.563940772769557,-482714.14,518858.45999999996,11480536.780000001,503716.6,1080823.95,1.6861050000000002,2977.79,794,30,764,41.95032745591939,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-14,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,26981.69,640.0,-2852.5600000000013,-9.561359846485168,-295276.24,295276.24,7296963.05,239501.66,-650714.8,-1.408146,1960.05,385,0,385,40.43,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-10,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,26984.63,640.0,-2849.619999999999,-9.551505400672044,-920257.5499999999,928249.37,17109990.650000002,2259880.1,902952.8299999998,-0.20060900000000004,2723.0299999999997,3396,31,3365,53.654042991755006,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-13,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,27191.71,645.0,-2642.540000000001,-8.857403822787571,-398427.28,441839.1,9156687.7,395863.0,1254659.59,2.403113,2419.3799999999997,561,30,531,40.019037433155084,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-14,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,27192.48,645.0,-2641.7700000000004,-8.854822896503181,-381608.99,381608.99,9075534.19,285589.89,-829787.53,-2.16334,2429.63,413,0,413,38.78,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-10,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,27195.45,645.0,-2638.7999999999993,-8.844867895120538,-441666.75,445027.13,7983823.82,996911.8200000001,35561.929999999935,-0.251869,1239.19,1288,9,1279,50.943664596273294,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-13,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,27402.5,650.0,-2431.75,-8.150866872805585,-604557.3200000001,631152.02,13370950.62,518612.89999999997,-158589.20999999996,-0.6679270000000002,3299.5,654,15,639,38.21316513761468,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-14,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,27403.28,650.0,-2430.970000000001,-8.148252427998026,-1078469.8,1080531.7,24476878.78,741403.8,-2264296.19,-7.233225,6611.0199999999995,957,1,956,37.26852664576803,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-10,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,27406.27,650.0,-2427.9799999999996,-8.138230389569035,-2226435.6199999996,2254799.1,38318734.300000004,4615774.7299999995,562770.6699999999,-1.2694609999999997,6041.12,4737,51,4686,49.00692210259658,,
2026-07-10T06:12:57 ET,2026-07-10T06:10:00 ET,2026-07-10,Fri,0612ET,2026-07-13,29834.25,707.585,29850.7,NEAR_FLIP,EXPANSION,,24.183127962085305,,23.94,25.04,29.77,23.54,27613.29,655.0,-2220.959999999999,-7.444329922823598,-976574.12,976574.12,20554407.83,730618.57,-1876185.85,-6.389766,4890.05,809,0,809,36.61,,
